day,energy_sum,LCLid,avg_energy,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,weather_cluster,Bank holidays,Type,holiday_ind,Year,Month
2011-11-23,90.3850001,13,6.952692315384615,10.36,229,6.29,0.36,2.04,1027.12,10.36,8.06,0.93,6.56,10.36,1.0,8.24,3.81,10.36,2.18,0.94,2,,,0,2011,11
2011-11-24,213.41199989999998,25,8.536479995999999,12.93,204,8.56,0.41,4.04,1027.22,12.93,10.64,0.89,7.3,12.93,1.0,9.71,8.56,12.93,7.01,0.97,2,,,0,2011,11
2011-11-25,303.99299990000003,32,9.499781246875001,13.03,243,7.24,0.48,5.02,1024.47,12.27,12.38,0.79,4.69,13.03,1.0,7.01,7.46,12.27,4.84,0.01,0,,,0,2011,11
2011-11-26,420.97599970000005,41,10.267707309756098,12.96,237,6.96,0.44,5.75,1025.8,12.96,13.07,0.81,11.59,12.96,1.0,11.59,7.01,12.96,4.69,0.05,0,,,0,2011,11
2011-11-27,444.8830006,41,10.850804892682927,13.54,256,5.76,0.42,5.48,1021.11,13.54,13.08,0.72,1.31,13.54,1.0,1.31,4.47,13.54,2.94,0.08,0,,,0,2011,11
2011-11-28,500.68599980000005,55,9.103381814545456,12.58,190,4.39,0.56,2.34,1022.8,10.27,11.84,0.86,10.27,12.58,1.0,10.27,1.31,10.27,1.31,0.12,2,,,0,2011,11
2011-11-29,584.3170005,63,9.274873023809523,13.47,213,8.61,0.6,6.48,1009.7,13.47,12.57,0.82,3.34,13.47,1.0,6.34,6.37,13.47,3.39,0.15,0,,,0,2011,11
2011-11-30,669.827,76,8.813513157894738,11.87,205,5.26,0.31,4.43,1019.43,11.87,13.05,0.78,6.23,11.87,1.0,9.44,6.34,11.87,3.34,0.19,0,,,0,2011,11
2011-12-01,848.9490005,92,9.227706527173913,12.15,225,6.87,0.57,2.57,1007.12,12.15,12.15,0.82,0.46,12.15,1.0,2.56,6.08,12.15,5.29,0.22,2,,,0,2011,12
2011-12-02,1014.5910005000001,100,10.145910005000001,8.07,232,3.69,0.32,3.0,1012.12,5.33,11.89,0.87,3.26,5.33,1.0,6.33,2.56,7.36,0.46,0.25,2,,,0,2011,12
2011-12-03,1194.8370002,110,10.862154547272727,11.42,247,6.58,0.54,5.42,1003.55,11.42,12.7,0.79,4.9,11.42,1.0,7.53,8.12,11.42,4.71,0.28,0,,,0,2011,12
2011-12-04,1358.7070004,110,12.351881821818182,9.11,254,4.87,0.36,4.31,1001.15,6.66,13.36,0.82,-1.69,6.66,1.0,2.81,4.69,9.11,1.03,0.31,0,,,0,2011,12
2011-12-05,1342.8440004000001,126,10.657492066666668,6.87,254,0.84,0.2,5.57,1006.01,3.13,13.0,0.77,-1.61,3.13,1.0,2.68,2.81,6.87,-1.69,0.34,0,,,0,2011,12
2011-12-06,1554.2130001,132,11.774340909848485,6.91,245,2.15,0.34,4.79,1007.32,3.77,13.15,0.83,1.9,3.77,1.0,5.16,2.68,6.91,-1.61,0.37,0,,,0,2011,12
2011-12-07,1664.2450005,152,10.94898026644737,9.02,263,1.79,0.29,7.06,1008.76,4.98,13.12,0.68,0.63,5.14,1.0,4.27,4.91,9.02,0.94,0.4,0,,,0,2011,12
